Class,petal length,petal width,sepal length,sepal width,Anomaly,Anomaly_Score
Iris-setosa,1.0,0.2,4.6,3.6,0,'-0.7717452904177516
Iris-setosa,1.1,0.1,4.3,3.0,0,'-6.211703408463766
Iris-setosa,1.2,0.2,5.0,3.2,0,'-22.260507331818097
Iris-setosa,1.2,0.2,5.8,4.0,0,'-0.9712668356408708
Iris-setosa,1.3,0.2,4.4,3.0,0,'-128.1522455647601
Iris-setosa,1.3,0.2,4.4,3.2,0,'-44.802538833080554
Iris-setosa,1.3,0.2,4.7,3.2,0,'-93.4220000264197
Iris-setosa,1.3,0.2,5.5,3.5,0,'-3.6381891263247517
Iris-setosa,1.3,0.3,4.5,2.3,0,'-0.0889982541207461
Iris-setosa,1.3,0.3,5.0,3.5,0,'-69.75313346581021
Iris-setosa,1.3,0.4,5.4,3.9,0,'-7.14710835565474
Iris-setosa,1.4,0.1,4.8,3.0,0,'-172.91705160346558
Iris-setosa,1.4,0.2,4.4,2.9,0,'-42.38045222480889
Iris-setosa,1.4,0.2,4.6,3.2,0,'-147.6898366216038
Iris-setosa,1.4,0.2,4.9,3.0,0,'-400.0007969647749
Iris-setosa,1.4,0.2,5.0,3.3,0,'-371.8399118124943
Iris-setosa,1.4,0.2,5.0,3.6,0,'-82.1762152298191
Iris-setosa,1.4,0.2,5.1,3.5,0,'-556.2515258816383
Iris-setosa,1.4,0.2,5.2,3.4,0,'-49.694565605533256
Iris-setosa,1.4,0.2,5.5,4.2,0,'-8.122338421714415
Iris-setosa,1.4,0.3,4.6,3.4,0,'-29.09890931257298
Iris-setosa,1.4,0.3,4.8,3.0,0,'-29.20924983672517
Iris-setosa,1.4,0.3,5.1,3.5,0,'-501.2351156754563
Iris-setosa,1.5,0.1,4.9,3.1,0,'-109.7397140357359
Iris-setosa,1.5,0.1,5.2,4.1,0,'-12.646257392157498
Iris-setosa,1.5,0.2,4.6,3.1,0,'-99.22920903151996
Iris-setosa,1.5,0.2,5.0,3.4,0,'-248.58399377622374
Iris-setosa,1.5,0.2,5.1,3.4,0,'-836.8074893981984
Iris-setosa,1.5,0.2,5.2,3.5,0,'-49.694570568296044
Iris-setosa,1.5,0.2,5.3,3.7,0,'-317.322242054812
Iris-setosa,1.5,0.2,5.4,3.7,0,'-184.45004339043436
Iris-setosa,1.5,0.3,5.1,3.8,0,'-109.4246856922628
Iris-setosa,1.5,0.4,5.1,3.7,0,'-73.4221771864128
Iris-setosa,1.5,0.4,5.4,3.4,0,'-11.22220731596136
Iris-setosa,1.5,0.4,5.7,4.4,0,'-0.5923107195371038
Iris-setosa,1.6,0.2,4.7,3.2,0,'-147.4516199208391
Iris-setosa,1.6,0.2,4.8,3.1,0,'-523.9995733900842
Iris-setosa,1.6,0.2,4.8,3.4,0,'-49.66276832009936
Iris-setosa,1.6,0.2,5.0,3.0,0,'-29.610067862188334
Iris-setosa,1.6,0.2,5.1,3.8,0,'-33.51162720193106
Iris-setosa,1.6,0.4,5.0,3.4,0,'-138.11898887109288
Iris-setosa,1.6,0.6,5.0,3.5,0,'-15.430668413862472
Iris-setosa,1.7,0.2,5.4,3.4,0,'-4.052612882592289
Iris-setosa,1.7,0.3,5.7,3.8,0,'-1.7878294452011378
Iris-setosa,1.7,0.4,5.4,3.9,0,'-15.17527381118187
Iris-setosa,1.7,0.5,5.1,3.3,0,'-18.317538336523192
Iris-setosa,1.9,0.2,4.8,3.4,0,'-2.2575581660328488
Iris-setosa,1.9,0.4,5.1,3.8,0,'-3.287214628751747
Iris-versicolor,3.0,1.1,5.1,2.5,0,'-2.8899117262750447
Iris-versicolor,3.3,1.0,4.9,2.4,0,'-14.745547773101128
Iris-versicolor,3.3,1.0,5.0,2.3,0,'-18.492964074030837
Iris-versicolor,3.5,1.0,5.0,2.0,0,'-2.7972747314170956
Iris-versicolor,3.5,1.0,5.7,2.6,0,'-4.754998399243988
Iris-versicolor,3.6,1.3,5.6,2.9,0,'-2.706529662590192
Iris-versicolor,3.7,1.0,5.5,2.4,0,'-82.51242838693635
Iris-versicolor,3.8,1.1,5.5,2.4,0,'-153.65054803252102
Iris-versicolor,3.9,1.1,5.6,2.5,0,'-125.6107413191628
Iris-versicolor,3.9,1.2,5.8,2.7,0,'-34.40760321331429
Iris-versicolor,3.9,1.4,5.2,2.7,0,'-0.8856009222185731
Iris-versicolor,4.0,1.0,6.0,2.2,0,'-0.28939139666272806
Iris-versicolor,4.0,1.2,5.8,2.6,0,'-18.64637592613253
Iris-versicolor,4.0,1.3,5.5,2.3,0,'-7.0256119754409525
Iris-versicolor,4.0,1.3,5.5,2.5,0,'-43.775604232991455
Iris-versicolor,4.0,1.3,6.1,2.8,0,'-14.53381302542366
Iris-versicolor,4.1,1.0,5.8,2.7,0,'-8.098383374215494
Iris-versicolor,4.1,1.3,5.6,3.0,0,'-46.5595143779756
Iris-versicolor,4.1,1.3,5.7,2.8,0,'-195.24336773727936
Iris-versicolor,4.2,1.2,5.7,3.0,0,'-53.1604647590825
Iris-versicolor,4.2,1.3,5.6,2.7,0,'-135.79699951784784
Iris-versicolor,4.2,1.3,5.7,2.9,0,'-175.1887594119637
Iris-versicolor,4.2,1.5,5.9,3.0,0,'-22.288317791780237
Iris-versicolor,4.3,1.3,6.2,2.9,0,'-29.9778035873562
Iris-versicolor,4.3,1.3,6.4,2.9,0,'-61.70967540503558
Iris-versicolor,4.4,1.2,5.5,2.6,0,'-9.626586302820714
Iris-versicolor,4.4,1.3,6.3,2.3,0,'-4.201485073286014
Iris-versicolor,4.4,1.4,6.6,3.0,0,'-70.16819260410419
Iris-versicolor,4.4,1.4,6.7,3.1,0,'-34.913825639219134
Iris-versicolor,4.5,1.3,5.7,2.8,0,'-14.053024098271084
Iris-versicolor,4.5,1.5,5.4,3.0,0,'-3.1273251971523632
Iris-versicolor,4.5,1.5,5.6,3.0,0,'-32.856738675596304
Iris-versicolor,4.5,1.5,6.0,2.9,0,'-48.02560630664874
Iris-versicolor,4.5,1.5,6.2,2.2,0,'-0.47476325792027574
Iris-versicolor,4.5,1.5,6.4,3.2,0,'-30.170763511211327
Iris-versicolor,4.5,1.6,6.0,3.4,0,'-1.9366028623959397
Iris-versicolor,4.6,1.3,6.6,2.9,0,'-22.24558947195765
Iris-versicolor,4.6,1.4,6.1,3.0,0,'-52.16272370124132
Iris-versicolor,4.6,1.5,6.5,2.8,0,'-12.224966369809545
Iris-versicolor,4.7,1.2,6.1,2.8,0,'-13.299495909217654
Iris-versicolor,4.7,1.4,6.1,2.9,0,'-55.142796364031916
Iris-versicolor,4.7,1.4,7.0,3.2,0,'-4.656539592753557
Iris-versicolor,4.7,1.5,6.7,3.1,0,'-34.91419612666617
Iris-versicolor,4.7,1.6,6.3,3.3,0,'-10.79577192289106
Iris-versicolor,4.8,1.4,6.8,2.8,0,'-9.950306934890214
Iris-versicolor,4.8,1.8,5.9,3.2,0,'-0.4978497181347218
Iris-versicolor,4.9,1.5,6.3,2.5,0,'-3.0587088079929883
Iris-versicolor,4.9,1.5,6.9,3.1,0,'-17.99348411320129
Iris-versicolor,5.0,1.7,6.7,3.0,0,'-2.5591315764503495
Iris-versicolor,5.1,1.6,6.0,2.7,0,'-1.542129560014349
Iris-virginica,4.8,1.8,6.0,3.0,0,'-23.745356275037434
Iris-virginica,4.8,1.8,6.2,2.8,0,'-86.37799792887303
Iris-virginica,4.9,1.8,6.1,3.0,0,'-34.76690607698044
Iris-virginica,4.9,1.8,6.3,2.7,0,'-59.68749305729693
Iris-virginica,4.9,2.0,5.6,2.8,0,'-9.71690429643579
Iris-virginica,5.0,1.5,6.0,2.2,0,'-0.1562130250716933
Iris-virginica,5.0,1.9,6.3,2.5,0,'-8.489224344017995
Iris-virginica,5.0,2.0,5.7,2.5,0,'-13.147643454182539
Iris-virginica,5.1,1.5,6.3,2.8,0,'-2.2007148402386774
Iris-virginica,5.1,1.8,5.9,3.0,0,'-19.286172131046264
Iris-virginica,5.1,1.9,5.8,2.7,0,'-27.30876120031186
Iris-virginica,5.1,2.0,6.5,3.2,0,'-5.631344898865829
Iris-virginica,5.1,2.3,6.9,3.1,0,'-2.3884354293391628
Iris-virginica,5.1,2.4,5.8,2.8,0,'-0.38508214885593306
Iris-virginica,5.2,2.0,6.5,3.0,0,'-20.57170665980776
Iris-virginica,5.2,2.3,6.7,3.0,0,'-13.83146033499743
Iris-virginica,5.3,1.9,6.4,2.7,0,'-18.274175780353524
Iris-virginica,5.3,2.3,6.4,3.2,0,'-26.426568406698532
Iris-virginica,5.4,2.1,6.9,3.1,0,'-20.618554284988285
Iris-virginica,5.4,2.3,6.2,3.4,0,'-6.345399947982468
Iris-virginica,5.5,1.8,6.4,3.1,0,'-10.907458230309647
Iris-virginica,5.5,1.8,6.5,3.0,0,'-19.780154247002788
Iris-virginica,5.5,2.1,6.8,3.0,0,'-9.339990926106157
Iris-virginica,5.6,1.4,6.1,2.6,0,'-0.15779307358828026
Iris-virginica,5.6,1.8,6.3,2.9,0,'-18.71001404480175
Iris-virginica,5.6,2.1,6.4,2.8,0,'-133.13523176996154
Iris-virginica,5.6,2.2,6.4,2.8,0,'-80.6838846676725
Iris-virginica,5.6,2.4,6.3,3.4,0,'-20.016367252542484
Iris-virginica,5.6,2.4,6.7,3.1,0,'-20.336171899563748
Iris-virginica,5.7,2.1,6.7,3.3,0,'-4.853317011815813
Iris-virginica,5.7,2.3,6.9,3.2,0,'-13.279455334603153
Iris-virginica,5.7,2.5,6.7,3.3,0,'-14.765496628760758
Iris-virginica,5.8,1.6,7.2,3.0,0,'-1.8950111976456117
Iris-virginica,5.8,2.2,6.5,3.0,0,'-27.156302778289614
Iris-virginica,5.9,2.1,7.1,3.0,0,'-11.911808104171973
Iris-virginica,5.9,2.3,6.8,3.2,0,'-7.822182454114079
Iris-virginica,6.0,1.8,7.2,3.2,0,'-3.0686330302260694
Iris-virginica,6.0,2.5,6.3,3.3,0,'-0.3644752278135003
Iris-virginica,6.1,1.9,7.4,2.8,0,'-3.872348457580641
Iris-virginica,6.1,2.3,7.7,3.0,0,'-0.7819390312416228
Iris-virginica,6.1,2.5,7.2,3.6,0,'-0.6123830876629788
Iris-virginica,6.3,1.8,7.3,2.9,0,'-4.748132618996662
Iris-virginica,6.4,2.0,7.9,3.8,0,'-0.13741720700444415
Iris-virginica,6.6,2.1,7.6,3.0,0,'-4.7386217608729035
Iris-virginica,6.7,2.0,7.7,2.8,0,'-5.1615287880847855
Iris-virginica,6.7,2.2,7.7,3.8,0,'-0.12928574042756166
Iris-virginica,6.9,2.3,7.7,2.6,0,'-0.6929924787484852
