Value.Class,Value.petal length,Value.petal width,Value.sepal length,Value.sepal width,Value.Anomaly,Value.Anomaly_Score
Iris-setosa,1.0,0.2,4.6,3.6,0,0.5656853069380685
Iris-setosa,1.1,0.1,4.3,3.0,0,0.49999968558555286
Iris-setosa,1.2,0.2,5.0,3.2,0,0.34641003762788874
Iris-setosa,1.2,0.2,5.8,4.0,0,0.5830952058399211
Iris-setosa,1.3,0.2,4.4,3.0,0,0.29999991257990694
Iris-setosa,1.3,0.2,4.4,3.2,0,0.3162276859101544
Iris-setosa,1.3,0.2,4.7,3.2,0,0.2645753237248157
Iris-setosa,1.3,0.2,5.5,3.5,0,0.36055531269757063
Iris-setosa,1.3,0.3,5.0,3.5,0,0.244949026595331
Iris-setosa,1.3,0.4,5.4,3.9,0,0.40000009536743164
Iris-setosa,1.4,0.1,4.8,3.0,0,0.20000001043081284
Iris-setosa,1.4,0.2,4.4,2.9,0,0.3605549820705073
Iris-setosa,1.4,0.2,4.6,3.2,0,0.2236068443979925
Iris-setosa,1.4,0.2,4.9,3.0,0,0.1732050403219206
Iris-setosa,1.4,0.2,5.0,3.3,0,0.2236067977500044
Iris-setosa,1.4,0.2,5.0,3.6,0,0.24494878934378506
Iris-setosa,1.4,0.2,5.1,3.5,0,0.1414213056611164
Iris-setosa,1.4,0.2,5.2,3.4,0,0.2236066378139594
Iris-setosa,1.4,0.2,5.5,4.2,0,0.47958299946168853
Iris-setosa,1.4,0.3,4.6,3.4,0,0.31622779900198433
Iris-setosa,1.4,0.3,4.8,3.0,0,0.2645750759118155
Iris-setosa,1.4,0.3,5.1,3.5,0,0.1732050446235165
Iris-setosa,1.5,0.1,4.9,3.1,0,0.1732050403219206
Iris-setosa,1.5,0.1,5.2,4.1,0,0.45825756982086563
Iris-setosa,1.5,0.2,4.6,3.1,0,0.2645753209086554
Iris-setosa,1.5,0.2,5.0,3.4,0,0.22360658450191898
Iris-setosa,1.5,0.2,5.1,3.4,0,0.1732050446235165
Iris-setosa,1.5,0.2,5.2,3.5,0,0.22360658450191898
Iris-setosa,1.5,0.2,5.3,3.7,0,0.28284291688690516
Iris-setosa,1.5,0.2,5.4,3.7,0,0.3316626299959784
Iris-setosa,1.5,0.3,5.1,3.8,0,0.31622772831955287
Iris-setosa,1.5,0.4,5.1,3.7,0,0.28284291688690516
Iris-setosa,1.5,0.4,5.4,3.4,0,0.346410304326757
Iris-setosa,1.5,0.4,5.7,4.4,0,0.640312571751323
Iris-setosa,1.6,0.2,4.7,3.2,0,0.26457541102234944
Iris-setosa,1.6,0.2,4.8,3.1,0,0.22360658450191898
Iris-setosa,1.6,0.2,4.8,3.4,0,0.29999995231637894
Iris-setosa,1.6,0.2,5.0,3.0,0,0.2236067977500044
Iris-setosa,1.6,0.2,5.1,3.8,0,0.33166241433823596
Iris-setosa,1.6,0.4,5.0,3.4,0,0.26457509280815017
Iris-setosa,1.6,0.6,5.0,3.5,0,0.4242640715217303
Iris-setosa,1.7,0.2,5.4,3.4,0,0.36055534576032733
Iris-setosa,1.7,0.3,5.7,3.8,0,0.5196151768865267
Iris-setosa,1.7,0.4,5.4,3.9,0,0.38729852699393186
Iris-setosa,1.7,0.5,5.1,3.3,0,0.38729854238377925
Iris-setosa,1.9,0.2,4.8,3.4,0,0.4472134888759565
Iris-setosa,1.9,0.4,5.1,3.8,0,0.4795830802464011
Iris-versicolor,3.3,1.0,5.0,2.3,0,0.7211102782367078
Iris-versicolor,3.5,1.0,5.0,2.0,0,0.721110245173992
Iris-versicolor,3.5,1.0,5.7,2.6,0,0.46904178947273323
Iris-versicolor,3.6,1.3,5.6,2.9,0,0.5385166312424198
Iris-versicolor,3.7,1.0,5.5,2.4,0,0.43588986153591086
Iris-versicolor,3.8,1.1,5.5,2.4,0,0.424263860787514
Iris-versicolor,3.9,1.1,5.6,2.5,0,0.3000002304713458
Iris-versicolor,3.9,1.2,5.8,2.7,0,0.3464098311513015
Iris-versicolor,3.9,1.4,5.2,2.7,0,0.5385165426959656
Iris-versicolor,4.0,1.0,6.0,2.2,0,0.5830952262841373
Iris-versicolor,4.0,1.2,5.8,2.6,0,0.3162278414116373
Iris-versicolor,4.0,1.3,5.5,2.3,0,0.435889970929878
Iris-versicolor,4.0,1.3,5.5,2.5,0,0.3316625940530525
Iris-versicolor,4.0,1.3,6.1,2.8,0,0.4123106319517812
Iris-versicolor,4.1,1.0,5.8,2.7,0,0.37416582788557184
Iris-versicolor,4.1,1.3,5.6,3.0,0,0.374165891605536
Iris-versicolor,4.1,1.3,5.7,2.8,0,0.2645750590158253
Iris-versicolor,4.2,1.2,5.7,3.0,0,0.3605552465722453
Iris-versicolor,4.2,1.3,5.6,2.7,0,0.3162276906222723
Iris-versicolor,4.2,1.3,5.7,2.9,0,0.30000019073495804
Iris-versicolor,4.2,1.5,5.9,3.0,0,0.374165891605536
Iris-versicolor,4.3,1.3,6.2,2.9,0,0.3872982115022055
Iris-versicolor,4.3,1.3,6.4,2.9,0,0.3872981499426072
Iris-versicolor,4.4,1.2,5.5,2.6,0,0.4242642260603267
Iris-versicolor,4.4,1.3,6.3,2.3,0,0.6164415085914016
Iris-versicolor,4.4,1.4,6.6,3.0,0,0.31622765292503213
Iris-versicolor,4.4,1.4,6.7,3.1,0,0.3872979960439905
Iris-versicolor,4.5,1.3,5.7,2.8,0,0.374165891605536
Iris-versicolor,4.5,1.5,5.4,3.0,0,0.5099019794139917
Iris-versicolor,4.5,1.5,5.6,3.0,0,0.424264338451759
Iris-versicolor,4.5,1.5,6.0,2.9,0,0.3741659553255653
Iris-versicolor,4.5,1.5,6.2,2.2,0,0.7280109823782163
Iris-versicolor,4.5,1.5,6.4,3.2,0,0.38729848851930454
Iris-versicolor,4.5,1.6,6.0,3.4,0,0.5099019560350521
Iris-versicolor,4.6,1.3,6.6,2.9,0,0.3162281806870187
Iris-versicolor,4.6,1.4,6.1,3.0,0,0.38729848851930454
Iris-versicolor,4.6,1.5,6.5,2.8,0,0.3872981499426072
Iris-versicolor,4.7,1.2,6.1,2.8,0,0.4582575486847633
Iris-versicolor,4.7,1.4,6.1,2.9,0,0.43588999827834923
Iris-versicolor,4.7,1.4,7.0,3.2,0,0.5196152743892563
Iris-versicolor,4.7,1.5,6.7,3.1,0,0.346409865564078
Iris-versicolor,4.7,1.6,6.3,3.3,0,0.4690416878107357
Iris-versicolor,4.8,1.4,6.8,2.8,0,0.4242641417666827
Iris-versicolor,4.8,1.8,5.9,3.2,0,0.547722513976255
Iris-versicolor,4.9,1.5,6.3,2.5,0,0.5099021196872446
Iris-versicolor,4.9,1.5,6.9,3.1,0,0.5099021196871889
Iris-versicolor,5.0,1.7,6.7,3.0,0,0.5567766974925824
Iris-versicolor,5.1,1.6,6.0,2.7,0,0.6244997769333341
Iris-virginica,4.8,1.8,6.0,3.0,0,0.47958286896316565
Iris-virginica,4.8,1.8,6.2,2.8,0,0.435889752142177
Iris-virginica,4.9,1.8,6.1,3.0,0,0.4582576007120365
Iris-virginica,4.9,1.8,6.3,2.7,0,0.42426414176648175
Iris-virginica,4.9,2.0,5.6,2.8,0,0.48989806535752445
Iris-virginica,5.0,1.5,6.0,2.2,0,0.6782329139455915
Iris-virginica,5.0,1.9,6.3,2.5,0,0.5477225575051765
Iris-virginica,5.0,2.0,5.7,2.5,0,0.5830952876168793
Iris-virginica,5.1,1.5,6.3,2.8,0,0.5099018858984636
Iris-virginica,5.1,1.8,5.9,3.0,0,0.45825765273917973
Iris-virginica,5.1,1.9,5.8,2.7,0,0.47958286896316565
Iris-virginica,5.1,2.0,6.5,3.2,0,0.48989806535740843
Iris-virginica,5.1,2.3,6.9,3.1,0,0.5196152514474269
Iris-virginica,5.1,2.4,5.8,2.8,0,0.6403125577883108
Iris-virginica,5.2,2.0,6.5,3.0,0,0.38729839618035466
Iris-virginica,5.2,2.3,6.7,3.0,0,0.3741660190457356
Iris-virginica,5.3,1.9,6.4,2.7,0,0.3872981807222424
Iris-virginica,5.3,2.3,6.4,3.2,0,0.38729839618035466
Iris-virginica,5.4,2.1,6.9,3.1,0,0.41231051630196547
Iris-virginica,5.4,2.3,6.2,3.4,0,0.6244997005783457
Iris-virginica,5.5,1.8,6.4,3.1,0,0.4582573665895244
Iris-virginica,5.5,1.8,6.5,3.0,0,0.3872982730613537
Iris-virginica,5.5,2.1,6.8,3.0,0,0.3741660190457356
Iris-virginica,5.6,1.4,6.1,2.6,0,0.7141428962707613
Iris-virginica,5.6,1.8,6.3,2.9,0,0.4242641698643984
Iris-virginica,5.6,2.1,6.4,2.8,0,0.3872982730613537
Iris-virginica,5.6,2.2,6.4,2.8,0,0.4690413828245502
Iris-virginica,5.6,2.4,6.3,3.4,0,0.49999980926528226
Iris-virginica,5.6,2.4,6.7,3.1,0,0.3605551804469078
Iris-virginica,5.7,2.1,6.7,3.3,0,0.3872983346210059
Iris-virginica,5.7,2.3,6.9,3.2,0,0.36055504819596
Iris-virginica,5.7,2.5,6.7,3.3,0,0.4358895333541054
Iris-virginica,5.8,1.6,7.2,3.0,0,0.70710656202304
Iris-virginica,5.8,1.8,6.7,2.5,0,0.624499681489563
Iris-virginica,5.8,2.2,6.5,3.0,0,0.38729845773962035
Iris-virginica,5.9,2.1,7.1,3.0,0,0.4999999046326502
Iris-virginica,5.9,2.3,6.8,3.2,0,0.38729845773962035
Iris-virginica,6.0,1.8,7.2,3.2,0,0.648073819677116
Iris-virginica,6.0,2.5,6.3,3.3,0,0.6082760648902191
Iris-virginica,6.1,1.9,7.4,2.8,0,0.5385163213299182
Iris-virginica,6.1,2.3,7.7,3.0,0,0.6999999114445319
Iris-virginica,6.3,1.8,7.3,2.9,0,0.5567764619758896
Iris-virginica,6.6,2.1,7.6,3.0,0,0.6082761824774625
Iris-virginica,6.7,2.0,7.7,2.8,0,0.6999999114445319
